pubmed articles,sample_id
19620673,"['lp_1424', 'lp_1425', 'lp_2486', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
24610854,"['lp_0050', 'lp_1002', 'lp_1424', 'lp_1425', 'lp_2631', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
19744343,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_2486', 'lp_2578', 'lp_2714', 'lp_2991', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_2943', 'lp_3050', 'lp_0373']"
28040493,"['lp_0050', 'lp_0789', 'lp_1002', 'lp_1760', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
24532775,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2714', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2945', 'lp_0373']"
16723015,"['lp_0172', 'lp_0173', 'lp_2376', 'lp_2486', 'lp_2942', 'lp_2956', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
22802934,"['lp_0775', 'lp_2486', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
18416556,"['lp_0050', 'lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
19419788,"['lp_0050', 'lp_0600', 'lp_1424', 'lp_1425', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
18681965,"['lp_0050', 'lp_0600', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2991', 'lp_3014', 'lp_2943', 'lp_3050', 'lp_0373']"
