pubmed articles,sample_id
12228270,"['lp_0172', 'lp_0173']"
11004180,"['lp_0172', 'lp_0173']"
18096372,"['lp_0172', 'lp_0173']"
22846451,"['lp_0172', 'lp_0173']"
10844647,"['lp_0172', 'lp_0173']"
26077560,"['lp_0172', 'lp_0173']"
25157083,"['lp_0172', 'lp_0173']"
18223086,"['lp_0172', 'lp_0173']"
15231787,"['lp_0172', 'lp_0173']"
11361075,"['lp_0172', 'lp_0173']"
17981974,"['lp_0172', 'lp_0173']"
19450265,"['lp_0172', 'lp_0173']"
17905980,"['lp_0172', 'lp_0173']"
16075200,"['lp_0172', 'lp_0173']"
25487891,"['lp_0172', 'lp_0173']"
7592460,"['lp_0172', 'lp_0173']"
10941796,"['lp_0172', 'lp_0173']"
23122499,"['lp_0172', 'lp_0173']"
29517411,"['lp_0172', 'lp_0173']"
16943039,"['lp_0600', 'lp_0373']"
16000734,"['lp_0600', 'lp_0373']"
8664499,"['lp_0600', 'lp_0373']"
16930615,"['lp_0600', 'lp_0373']"
9495006,"['lp_0600', 'lp_0373']"
17241350,"['lp_0600', 'lp_0373']"
10077822,"['lp_0600', 'lp_0373']"
16624436,"['lp_0600', 'lp_0373']"
14659551,"['lp_0600', 'lp_0373']"
16157307,"['lp_0600', 'lp_0373']"
18410340,"['lp_0600', 'lp_0373']"
12859652,"['lp_0600', 'lp_0373']"
18819405,"['lp_0600', 'lp_0373']"
18512055,"['lp_0600', 'lp_0373']"
19843212,"['lp_0600', 'lp_0373']"
17046707,"['lp_0600', 'lp_0373']"
16000709,"['lp_0600', 'lp_0373']"
18267320,"['lp_0600', 'lp_0373']"
9851032,"['lp_0600', 'lp_0373']"
17309616,"['lp_0600', 'lp_0373']"
8017927,"['lp_0600', 'lp_0373']"
15610418,"['lp_0600', 'lp_0373']"
9274026,"['lp_0600', 'lp_0373']"
15012821,"['lp_0600', 'lp_0373']"
16814424,"['lp_0600', 'lp_0373']"
18511886,"['lp_0600', 'lp_0373']"
10873644,"['lp_0600', 'lp_0373']"
19527296,"['lp_0600', 'lp_0373']"
7736599,"['lp_0600', 'lp_0373']"
17960374,"['lp_0600', 'lp_0373']"
16313422,"['lp_0600', 'lp_0373']"
17961648,"['lp_0600', 'lp_0373']"
19523147,"['lp_0600', 'lp_0373']"
19651154,"['lp_0600', 'lp_0373']"
16033468,"['lp_0600', 'lp_0373']"
15954662,"['lp_0600', 'lp_0373']"
17541504,"['lp_0600', 'lp_0373']"
19243442,"['lp_0600', 'lp_0373']"
17953571,"['lp_0600', 'lp_0373']"
19066885,"['lp_0600', 'lp_0373']"
16245871,"['lp_0600', 'lp_0373']"
19060397,"['lp_0600', 'lp_0373']"
16233128,"['lp_0600', 'lp_0373']"
19309013,"['lp_0600', 'lp_0373']"
17074889,"['lp_0600', 'lp_0373']"
19246745,"['lp_0600', 'lp_0373']"
12061783,"['lp_0600', 'lp_0373']"
19399991,"['lp_0600', 'lp_0373']"
18535826,"['lp_0600', 'lp_0373']"
17957113,"['lp_0600', 'lp_0373']"
18217938,"['lp_0600', 'lp_0373']"
18496687,"['lp_0600', 'lp_0373']"
16461726,"['lp_0600', 'lp_0373']"
19146533,"['lp_0600', 'lp_0373']"
18557944,"['lp_0600', 'lp_0373']"
21696579,"['lp_0600', 'lp_0373']"
18834642,"['lp_0600', 'lp_0373']"
18634821,"['lp_0600', 'lp_0373']"
18937991,"['lp_0600', 'lp_0373']"
19519532,"['lp_0600', 'lp_0373']"
19618275,"['lp_0600', 'lp_0373']"
18759446,"['lp_0600', 'lp_0373']"
19120072,"['lp_0600', 'lp_0373']"
18469106,"['lp_0600', 'lp_0373']"
17209819,"['lp_0600', 'lp_0373']"
19393172,"['lp_0600', 'lp_0373']"
17957107,"['lp_0600', 'lp_0373']"
17399831,"['lp_0600', 'lp_0373']"
16271156,"['lp_0600', 'lp_0373']"
19552789,"['lp_0600', 'lp_0373']"
9011036,"['lp_0600', 'lp_0373']"
19535397,"['lp_0600', 'lp_0373']"
19219901,"['lp_0600', 'lp_0373']"
18422938,"['lp_0600', 'lp_0373']"
19481123,"['lp_0600', 'lp_0373']"
19407995,"['lp_0600', 'lp_0373']"
18423015,"['lp_0600', 'lp_0373']"
17481763,"['lp_0600', 'lp_0373']"
12859771,"['lp_0600', 'lp_0373']"
2119600,"['lp_0600', 'lp_0373']"
27533919,"['lp_0600', 'lp_0373']"
27576355,"['lp_0600', 'lp_0373']"
22642479,"['lp_0600', 'lp_0373']"
16340407,"['lp_0600', 'lp_0373']"
13254861,"['lp_0600', 'lp_0373']"
13549395,"['lp_0600', 'lp_0373']"
18149986,"['lp_0600', 'lp_0373']"
13408244,"['lp_0600', 'lp_0373']"
13264376,"['lp_0600', 'lp_0373']"
21167023,"['lp_0725', 'lp_0789']"
17725816,"['lp_0725', 'lp_0373']"
28729269,"['lp_0725', 'lp_0789']"
24066356,"['lp_0775', 'lp_0373']"
21447177,"['lp_0775', 'lp_0373']"
15317777,"['lp_0775', 'lp_0373']"
14711657,"['lp_0775', 'lp_0789']"
19638173,"['lp_0775', 'lp_0373']"
22970257,"['lp_0775', 'lp_0373']"
18952885,"['lp_0775', 'lp_0789']"
17714399,"['lp_0775', 'lp_0373']"
22573266,"['lp_0775', 'lp_0373']"
25647716,"['lp_0775', 'lp_0789']"
19966486,"['lp_0775', 'lp_0373']"
26687333,"['lp_0789', 'lp_0373']"
7986030,"['lp_0789', 'lp_0373']"
24879963,"['lp_0789', 'lp_0373']"
17142375,"['lp_0789', 'lp_0373']"
